match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1,2026-04-30 18:09:00,26.09,Arabian League 2nd Division 2026 Spring,Victorious Demons,Lunaris Esports (MENA Team),Victorious Demons,"[""Zoe"", ""Fiora"", ""Jarvan IV"", ""Ahri"", ""Aurora""]","[""Neeko"", ""Karma"", ""Orianna"", ""Ryze"", ""Sylas""]","[""Ambessa"", ""Ezreal"", ""Bard"", ""Galio"", ""Renekton""]","[""Nocturne"", ""Varus"", ""Nautilus"", ""LeBlanc"", ""Jax""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_1,2026-04-30 18:19:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"[""Nautilus"", ""Zaahen"", ""Alistar"", ""Ezreal"", ""Caitlyn""]","[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Akali"", ""Ambessa""]","[""Pantheon"", ""Corki"", ""Nami"", ""Gwen"", ""Syndra""]","[""Aatrox"", ""Sion"", ""Karma"", ""Yunara"", ""Mel""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_2,2026-04-30 18:56:00,26.09,Arabian League 2nd Division 2026 Spring,Lunaris Esports (MENA Team),Victorious Demons,Victorious Demons,"[""Neeko"", ""Sylas"", ""Karma"", ""Rakan"", ""Rell""]","[""Zoe"", ""Fiora"", ""Jarvan IV"", ""Leona"", ""Alistar""]","[""Orianna"", ""Xin Zhao"", ""Kai'Sa"", ""Thresh"", ""Gnar""]","[""Wukong"", ""Ryze"", ""Caitlyn"", ""Morgana"", ""Irelia""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_2,2026-04-30 19:05:00,26.09,Arabian League 2nd Division 2026 Spring,Pegasus Esports,Team Depressed,Team Depressed,"[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Akali"", ""Caitlyn""]","[""Nautilus"", ""Zaahen"", ""Ashe"", ""Alistar"", ""Ahri""]","[""K'Sante"", ""Xin Zhao"", ""Ezreal"", ""Zoe"", ""Rakan""]","[""Ambessa"", ""Neeko"", ""Trundle"", ""Kai'Sa"", ""Annie""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_1_3,2026-04-30 19:55:00,26.09,Arabian League 2nd Division 2026 Spring,Team Depressed,Pegasus Esports,Pegasus Esports,"[""Zaahen"", ""Nautilus"", ""Rumble"", ""Lucian"", ""Orianna""]","[""Rek'Sai"", ""Anivia"", ""Lulu"", ""Caitlyn"", ""Olaf""]","[""Jarvan IV"", ""Sylas"", ""Bard"", ""Dr. Mundo"", ""Jhin""]","[""Nocturne"", ""Ornn"", ""Braum"", ""Cassiopeia"", ""Vayne""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_1_1,2026-05-01 16:14:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"[""Zaahen"", ""Nocturne"", ""Pantheon"", ""Nami"", ""Leona""]","[""Orianna"", ""Karma"", ""Xin Zhao"", ""Galio"", ""Viktor""]","[""Jarvan IV"", ""Tristana"", ""Lulu"", ""Gnar"", ""Mel""]","[""LeBlanc"", ""Ezreal"", ""Naafiri"", ""Thresh"", ""Ambessa""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Split_Last Stand_1_2,2026-05-01 17:23:00,26.09,Arabian League 2026 Spring,One More Esports,JSK Esports,One More Esports,"[""Nocturne"", ""Pantheon"", ""Aurora"", ""Akali"", ""Syndra""]","[""Orianna"", ""Xin Zhao"", ""Karma"", ""Galio"", ""Rumble""]","[""Seraphine"", ""Ashe"", ""Wukong"", ""Annie"", ""Renekton""]","[""Nami"", ""Corki"", ""Skarner"", ""Ahri"", ""Jayce""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League/2026 Season/Spring Split_Last Stand_2_1,2026-05-01 18:39:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,GnG Amazigh,"[""Caitlyn"", ""Nocturne"", ""Orianna"", ""Kled"", ""K'Sante""]","[""Pantheon"", ""Rell"", ""Neeko"", ""Akali"", ""Ahri""]","[""Xin Zhao"", ""Nautilus"", ""Kai'Sa"", ""Aurora"", ""Sion""]","[""Jarvan IV"", ""Yunara"", ""Braum"", ""Viktor"", ""Zaahen""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_2_2,2026-05-01 19:37:00,26.09,Arabian League 2026 Spring,GnG Amazigh,3BL Esports,3BL Esports,"[""Rell"", ""Akali"", ""Pantheon"", ""Neeko"", ""Varus""]","[""Nocturne"", ""Orianna"", ""Karma"", ""Ezreal"", ""Sivir""]","[""Ryze"", ""K'Sante"", ""Naafiri"", ""Rakan"", ""Xayah""]","[""Syndra"", ""Wukong"", ""Gnar"", ""Corki"", ""Nami""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League/2026 Season/Spring Split_Last Stand_2_3,2026-05-01 20:29:00,26.09,Arabian League 2026 Spring,3BL Esports,GnG Amazigh,3BL Esports,"[""Nocturne"", ""Orianna"", ""Ezreal"", ""Qiyana"", ""Kha'Zix""]","[""Pantheon"", ""Rell"", ""Akali"", ""LeBlanc"", ""Sylas""]","[""Karma"", ""Galio"", ""Sivir"", ""Lissandra"", ""Lee Sin""]","[""Jhin"", ""Rumble"", ""Alistar"", ""Ahri"", ""Vi""]",[],[],1,leaguepedia_cargo_patch_range,0
LCP/2026 Season/Split 2_Week 5_1_1,2026-05-02 09:19:00,26.09,LCP 2026 Split 2,Ground Zero Gaming,MVK Esports,MVK Esports,"[""Rumble"", ""Bard"", ""Pantheon"", ""Mel"", ""Pyke""]","[""Karma"", ""Nocturne"", ""Ezreal"", ""Renekton"", ""Annie""]","[""Jarvan IV"", ""Ashe"", ""Seraphine"", ""Yorick"", ""Cassiopeia""]","[""Ryze"", ""Xin Zhao"", ""Ambessa"", ""Lucian"", ""Milio""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_1_2,2026-05-02 10:09:00,26.09,LCP 2026 Split 2,Ground Zero Gaming,MVK Esports,MVK Esports,"[""Bard"", ""Gnar"", ""K'Sante"", ""Shyvana"", ""Lee Sin""]","[""Karma"", ""Nocturne"", ""Pantheon"", ""Sivir"", ""Ezreal""]","[""Rumble"", ""Naafiri"", ""Hwei"", ""Jhin"", ""Pyke""]","[""Varus"", ""Orianna"", ""Sion"", ""Vi"", ""Nautilus""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_2_1,2026-05-02 11:17:00,26.09,LCP 2026 Split 2,Deep Cross Gaming,GAM Esports,Deep Cross Gaming,"[""Nautilus"", ""Nocturne"", ""Sion"", ""Bard"", ""Pyke""]","[""Rumble"", ""Orianna"", ""Jayce"", ""Lee Sin"", ""Pantheon""]","[""Karma"", ""Ryze"", ""Sivir"", ""Naafiri"", ""Gnar""]","[""Ezreal"", ""Jarvan IV"", ""Anivia"", ""Alistar"", ""Vayne""]",[],[],1,leaguepedia_cargo_patch_range,0
LCP/2026 Season/Split 2_Week 5_2_2,2026-05-02 12:11:00,26.09,LCP 2026 Split 2,Deep Cross Gaming,GAM Esports,GAM Esports,"[""Nautilus"", ""Varus"", ""Lee Sin"", ""Lucian"", ""Ashe""]","[""Rumble"", ""Orianna"", ""Nocturne"", ""Caitlyn"", ""Taliyah""]","[""Pantheon"", ""Yorick"", ""Bard"", ""Aurora"", ""Corki""]","[""Xin Zhao"", ""Jayce"", ""Twisted Fate"", ""Jhin"", ""Blitzcrank""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_2_3,2026-05-02 13:03:00,26.09,LCP 2026 Split 2,Deep Cross Gaming,GAM Esports,GAM Esports,"[""Akali"", ""Lucian"", ""Varus"", ""Caitlyn"", ""Pyke""]","[""Nocturne"", ""Orianna"", ""Rumble"", ""Nautilus"", ""Ashe""]","[""Annie"", ""Renekton"", ""Wukong"", ""Xayah"", ""Lulu""]","[""Galio"", ""Lee Sin"", ""Gwen"", ""Yunara"", ""Milio""]",[],[],0,leaguepedia_cargo_patch_range,1
LEC/2026 Season/Spring Season_Week 6_1_1,2026-05-02 15:08:00,26.09,LEC 2026 Spring,Team Heretics,Fnatic,Fnatic,"[""Nautilus"", ""Varus"", ""Karma"", ""Vayne"", ""K'Sante""]","[""Vi"", ""Orianna"", ""Ryze"", ""LeBlanc"", ""Ahri""]","[""Seraphine"", ""Jarvan IV"", ""Ezreal"", ""Rumble"", ""Azir""]","[""Bard"", ""Nocturne"", ""Caitlyn"", ""Aurora"", ""Ambessa""]",[],[],0,leaguepedia_cargo_patch_range,1
LEC/2026 Season/Spring Season_Week 6_1_2,2026-05-02 15:57:00,26.09,LEC 2026 Spring,Fnatic,Team Heretics,Fnatic,"[""Nautilus"", ""Varus"", ""Ryze"", ""Vayne"", ""Jayce""]","[""Vi"", ""Orianna"", ""Karma"", ""Akali"", ""Sion""]","[""Lulu"", ""Yunara"", ""Zaahen"", ""Viktor"", ""Gnar""]","[""Lucian"", ""Xin Zhao"", ""Nami"", ""Mel"", ""Irelia""]",[],[],1,leaguepedia_cargo_patch_range,0
CBLOL/2026 Season/Split 1_Week 6_1_1,2026-05-02 16:10:00,26.09,CBLOL 2026 Split 1,paiN Gaming,Leviatan,paiN Gaming,"[""Karma"", ""Varus"", ""Ambessa"", ""Aurora"", ""Ezreal""]","[""Orianna"", ""Caitlyn"", ""Jarvan IV"", ""Nautilus"", ""Bard""]","[""Rumble"", ""Vi"", ""Ahri"", ""Lucian"", ""Milio""]","[""Nocturne"", ""Neeko"", ""K'Sante"", ""Lissandra"", ""Kai'Sa""]",[],[],1,leaguepedia_cargo_patch_range,0
CBLOL/2026 Season/Split 1_Week 6_1_2,2026-05-02 16:56:00,26.09,CBLOL 2026 Split 1,paiN Gaming,Leviatan,paiN Gaming,"[""Karma"", ""Varus"", ""Bard"", ""Ryze"", ""Gwen""]","[""Caitlyn"", ""Jarvan IV"", ""Orianna"", ""Gnar"", ""Viktor""]","[""Pantheon"", ""Corki"", ""Nami"", ""Sion"", ""Aurora""]","[""Skarner"", ""Ezreal"", ""Nautilus"", ""Renekton"", ""Zoe""]",[],[],1,leaguepedia_cargo_patch_range,0
LEC/2026 Season/Spring Season_Week 6_2_1,2026-05-02 16:58:00,26.09,LEC 2026 Spring,SK Gaming,Team Vitality,Team Vitality,"[""Varus"", ""Nautilus"", ""Ezreal"", ""Vayne"", ""Braum""]","[""Rumble"", ""Orianna"", ""Akali"", ""Yone"", ""Taliyah""]","[""Pantheon"", ""Jhin"", ""Rell"", ""Shyvana"", ""Ekko""]","[""Caitlyn"", ""Jarvan IV"", ""Azir"", ""Bard"", ""Jayce""]",[],[],0,leaguepedia_cargo_patch_range,1
LEC/2026 Season/Spring Season_Week 6_2_2,2026-05-02 17:50:00,26.09,LEC 2026 Spring,SK Gaming,Team Vitality,SK Gaming,"[""Nautilus"", ""Varus"", ""Akali"", ""Rumble"", ""Ryze""]","[""Nocturne"", ""Ashe"", ""Orianna"", ""Renekton"", ""Sion""]","[""Ezreal"", ""Nami"", ""Xin Zhao"", ""Ahri"", ""Gnar""]","[""Kai'Sa"", ""Vi"", ""Rakan"", ""Anivia"", ""Yasuo""]",[],[],1,leaguepedia_cargo_patch_range,0
CBLOL/2026 Season/Split 1_Week 6_2_1,2026-05-02 18:00:00,26.09,CBLOL 2026 Split 1,RED Canids,FURIA,RED Canids,"[""Jarvan IV"", ""Bard"", ""Nocturne"", ""Nautilus"", ""Neeko""]","[""Seraphine"", ""Lucian"", ""Pantheon"", ""Ezreal"", ""Karma""]","[""Xin Zhao"", ""Annie"", ""K'Sante"", ""Zeri"", ""Yuumi""]","[""Varus"", ""Rumble"", ""Trundle"", ""Anivia"", ""Alistar""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_1,2026-05-02 18:11:00,26.09,Arabian League 2nd Division 2026 Spring,Pyramid IV Esports,Lunaris Esports (MENA Team),Pyramid IV Esports,"[""Karma"", ""Rumble"", ""Zoe"", ""Fiora"", ""Gnar""]","[""Neeko"", ""Orianna"", ""Jarvan IV"", ""Braum"", ""LeBlanc""]","[""Ambessa"", ""Kai'Sa"", ""Olaf"", ""Rell"", ""Hwei""]","[""Wukong"", ""Ezreal"", ""Nautilus"", ""Jax"", ""Ahri""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_1,2026-05-02 18:13:00,26.09,Arabian League 2nd Division 2026 Spring,Victorious Demons,NextGeneration Esports,Victorious Demons,"[""Vi"", ""Nautilus"", ""Irelia"", ""Bard"", ""Alistar""]","[""Orianna"", ""Karma"", ""Ambessa"", ""Gnar"", ""Ezreal""]","[""Ryze"", ""Jarvan IV"", ""Neeko"", ""Corki"", ""Ornn""]","[""Syndra"", ""Wukong"", ""K'Sante"", ""Nami"", ""Caitlyn""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_1,2026-05-02 18:19:00,26.09,Arabian League 2nd Division 2026 Spring,JSK Academy,Team Depressed,JSK Academy,"[""Rek'Sai"", ""Aphelios"", ""Corki"", ""Shen"", ""Sylas""]","[""Aatrox"", ""Ashe"", ""Karma"", ""Orianna"", ""LeBlanc""]","[""Caitlyn"", ""Wukong"", ""Neeko"", ""Galio"", ""Gwen""]","[""Ezreal"", ""Xin Zhao"", ""Bard"", ""Akali"", ""Taliyah""]",[],[],1,leaguepedia_cargo_patch_range,0
LEC/2026 Season/Spring Season_Week 6_2_3,2026-05-02 18:34:00,26.09,LEC 2026 Spring,Team Vitality,SK Gaming,Team Vitality,"[""Varus"", ""Nautilus"", ""Nocturne"", ""Sion"", ""Renekton""]","[""Orianna"", ""Ashe"", ""Rumble"", ""Sejuani"", ""Akali""]","[""Ryze"", ""Lulu"", ""Kog'Maw"", ""Zaahen"", ""Irelia""]","[""Lucian"", ""Milio"", ""Syndra"", ""Wukong"", ""Aatrox""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2,2026-05-02 18:57:00,26.09,Arabian League 2nd Division 2026 Spring,Lunaris Esports (MENA Team),Pyramid IV Esports,Pyramid IV Esports,"[""Pantheon"", ""Ashe"", ""Neeko"", ""Nami"", ""Aphelios""]","[""Jarvan IV"", ""Karma"", ""Smolder"", ""Yunara""]","[""Orianna"", ""Vi"", ""Rumble"", ""Draven"", ""Thresh""]","[""Xin Zhao"", ""LeBlanc"", ""K'Sante"", ""Tristana"", ""Braum""]",[],[],0,leaguepedia_cargo_patch_range,1
CBLOL/2026 Season/Split 1_Week 6_2_2,2026-05-02 19:02:00,26.09,CBLOL 2026 Split 1,RED Canids,FURIA,FURIA,"[""Seraphine"", ""Ezreal"", ""Karma"", ""Skarner"", ""Sion""]","[""Bard"", ""Jarvan IV"", ""Nautilus"", ""LeBlanc"", ""Akali""]","[""Nocturne"", ""Lucian"", ""Nami"", ""Renekton"", ""Ryze""]","[""Orianna"", ""Milio"", ""Caitlyn"", ""Pantheon"", ""Gnar""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_2,2026-05-02 19:20:00,26.09,Arabian League 2nd Division 2026 Spring,JSK Academy,Team Depressed,JSK Academy,"[""Rek'Sai"", ""Aphelios"", ""Corki"", ""Shen"", ""Anivia""]","[""Ashe"", ""Aatrox"", ""Karma"", ""LeBlanc"", ""Ahri""]","[""Jarvan IV"", ""Lulu"", ""Tristana"", ""Sion"", ""Zoe""]","[""Yunara"", ""Pantheon"", ""Braum"", ""Orianna"", ""Ambessa""]",[],[],1,leaguepedia_cargo_patch_range,0
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_2,2026-05-02 19:23:00,26.09,Arabian League 2nd Division 2026 Spring,Victorious Demons,NextGeneration Esports,NextGeneration Esports,"[""Vi"", ""Irelia"", ""Nautilus"", ""Sion"", ""Ahri""]","[""Orianna"", ""Karma"", ""Ambessa"", ""LeBlanc"", ""Sylas""]","[""Bard"", ""Ezreal"", ""Pantheon"", ""Taliyah"", ""Rumble""]","[""Xin Zhao"", ""Ashe"", ""Seraphine"", ""Akali"", ""Kennen""]",[],[],0,leaguepedia_cargo_patch_range,1
CBLOL/2026 Season/Split 1_Week 6_2_3,2026-05-02 20:01:00,26.09,CBLOL 2026 Split 1,FURIA,RED Canids,FURIA,"[""Seraphine"", ""Ezreal"", ""Karma"", ""Viktor"", ""Yorick""]","[""Bard"", ""Jarvan IV"", ""Nautilus"", ""LeBlanc"", ""Syndra""]","[""Aatrox"", ""Neeko"", ""Jhin"", ""Jayce"", ""Aurora""]","[""Yunara"", ""Lulu"", ""Zaahen"", ""Twisted Fate"", ""Sion""]",[],[],1,leaguepedia_cargo_patch_range,0
LCS/2026 Season/Spring Season_Week 5_1_1,2026-05-02 20:10:00,26.09,LCS 2026 Spring,Dignitas,Cloud9,Cloud9,"[""Varus"", ""Anivia"", ""Karma"", ""Aurora"", ""Azir""]","[""Orianna"", ""Pantheon"", ""Bard"", ""Xin Zhao"", ""Nocturne""]","[""Seraphine"", ""Ezreal"", ""Annie"", ""Ornn"", ""Wukong""]","[""Ashe"", ""Jarvan IV"", ""Lulu"", ""Rumble"", ""Hwei""]",[],[],0,leaguepedia_cargo_patch_range,1
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_3,2026-05-02 20:32:00,26.09,Arabian League 2nd Division 2026 Spring,NextGeneration Esports,Victorious Demons,NextGeneration Esports,"[""Ambessa"", ""Qiyana"", ""Aatrox"", ""Dr. Mundo"", ""Milio""]","[""Vi"", ""Karma"", ""Orianna"", ""Nautilus"", ""Lulu""]","[""Gragas"", ""Sejuani"", ""Irelia"", ""Varus"", ""Thresh""]","[""Vayne"", ""Jax"", ""LeBlanc"", ""Yunara"", ""Alistar""]",[],[],1,leaguepedia_cargo_patch_range,0
LCS/2026 Season/Spring Season_Week 5_1_2,2026-05-02 21:02:00,26.09,LCS 2026 Spring,Cloud9,Dignitas,Dignitas,"[""Azir"", ""Nautilus"", ""LeBlanc"", ""Pantheon"", ""Naafiri""]","[""Orianna"", ""Karma"", ""Ziggs"", ""Rakan"", ""Ambessa""]","[""Varus"", ""Nocturne"", ""Neeko"", ""Caitlyn"", ""Galio""]","[""Lucian"", ""Taliyah"", ""Nami"", ""Xin Zhao"", ""Jax""]",[],[],0,leaguepedia_cargo_patch_range,1
LCS/2026 Season/Spring Season_Week 5_1_3,2026-05-02 21:55:00,26.09,LCS 2026 Spring,Dignitas,Cloud9,Cloud9,"[""Bard"", ""Ziggs"", ""Ambessa"", ""Renekton"", ""Gwen""]","[""Orianna"", ""Karma"", ""Pantheon"", ""Anivia"", ""Syndra""]","[""Vi"", ""Xayah"", ""Rakan"", ""Sion"", ""Viktor""]","[""Sejuani"", ""Corki"", ""Cassiopeia"", ""Alistar"", ""Gnar""]",[],[],0,leaguepedia_cargo_patch_range,1
LCS/2026 Season/Spring Season_Week 5_2_1,2026-05-02 22:48:00,26.09,LCS 2026 Spring,Disguised,Team Liquid,Team Liquid,"[""Nocturne"", ""Varus"", ""Orianna"", ""Mel"", ""Nautilus""]","[""Karma"", ""Jarvan IV"", ""Bard"", ""Anivia"", ""Xin Zhao""]","[""Seraphine"", ""Ashe"", ""Ornn"", ""Yone"", ""Sejuani""]","[""Rumble"", ""Pantheon"", ""Ryze"", ""Nami"", ""Ezreal""]",[],[],0,leaguepedia_cargo_patch_range,1
LCS/2026 Season/Spring Season_Week 5_2_2,2026-05-02 23:35:00,26.09,LCS 2026 Spring,Team Liquid,Disguised,Team Liquid,"[""Varus"", ""Nocturne"", ""Akali"", ""Lucian"", ""Caitlyn""]","[""Karma"", ""Jarvan IV"", ""Orianna"", ""Yorick"", ""Sion""]","[""Annie"", ""Xayah"", ""Rakan"", ""Gragas"", ""Lee Sin""]","[""Taliyah"", ""Vi"", ""Jayce"", ""Kai'Sa"", ""Alistar""]",[],[],1,leaguepedia_cargo_patch_range,0
LPL/2026 Season/Split 2_Week 5_12_1,2026-05-03 09:12:00,26.09,LPL 2026 Split 2,LNG Esports,ThunderTalk Gaming,LNG Esports,"[""Rumble"", ""Xin Zhao"", ""Varus"", ""Jhin"", ""Sivir""]","[""Orianna"", ""Ambessa"", ""Seraphine"", ""Azir"", ""Ryze""]","[""Ezreal"", ""Bard"", ""Jarvan IV"", ""Jayce"", ""Aurora""]","[""Karma"", ""Annie"", ""Lee Sin"", ""Yunara"", ""Yorick""]",[],[],1,leaguepedia_cargo_patch_range,0
LCP/2026 Season/Split 2_Week 5_3_1,2026-05-03 09:22:00,26.09,LCP 2026 Split 2,Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,"[""Rumble"", ""Karma"", ""Lee Sin"", ""Nautilus"", ""Lucian""]","[""Orianna"", ""Nocturne"", ""Pantheon"", ""Ashe"", ""Caitlyn""]","[""Jarvan IV"", ""Anivia"", ""Renekton"", ""Varus"", ""Bard""]","[""Ryze"", ""Xin Zhao"", ""Zaahen"", ""Yunara"", ""Pyke""]",[],[],1,leaguepedia_cargo_patch_range,0
LPL/2026 Season/Split 2_Week 5_12_2,2026-05-03 10:03:00,26.09,LPL 2026 Split 2,LNG Esports,ThunderTalk Gaming,ThunderTalk Gaming,"[""Rumble"", ""Nocturne"", ""Lucian"", ""Nautilus"", ""Twisted Fate""]","[""Orianna"", ""Ambessa"", ""Vi"", ""Vayne"", ""Jax""]","[""Seraphine"", ""Pantheon"", ""Ashe"", ""Nidalee"", ""Taliyah""]","[""Xin Zhao"", ""Varus"", ""Gnar"", ""Rakan"", ""Ahri""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_3_2,2026-05-03 10:14:00,26.09,LCP 2026 Split 2,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,"[""Karma"", ""Lee Sin"", ""K'Sante"", ""Nautilus"", ""Ashe""]","[""Orianna"", ""Nocturne"", ""Pantheon"", ""Yone"", ""Annie""]","[""Rumble"", ""Lucian"", ""Milio"", ""Viktor"", ""Skarner""]","[""Yorick"", ""Vi"", ""Aurora"", ""Xayah"", ""Rakan""]",[],[],1,leaguepedia_cargo_patch_range,0
LPL/2026 Season/Split 2_Week 5_12_3,2026-05-03 10:59:00,26.09,LPL 2026 Split 2,ThunderTalk Gaming,LNG Esports,LNG Esports,"[""Ambessa"", ""Vi"", ""Naafiri"", ""Skarner"", ""Azir""]","[""Orianna"", ""Nocturne"", ""Lucian"", ""Trundle"", ""Akali""]","[""Rumble"", ""Aphelios"", ""Lulu"", ""Yone"", ""Sejuani""]","[""Corki"", ""Nami"", ""K'Sante"", ""Maokai"", ""Ryze""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_3_3,2026-05-03 11:17:00,26.09,LCP 2026 Split 2,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,Fukuoka SoftBank HAWKS gaming,"[""Orianna"", ""Nocturne"", ""Caitlyn"", ""Nautilus"", ""Rell""]","[""Lee Sin"", ""Karma"", ""Pantheon"", ""Galio"", ""Akali""]","[""Naafiri"", ""Ashe"", ""Seraphine"", ""K'Sante"", ""Taliyah""]","[""Wukong"", ""Annie"", ""Mel"", ""Shen"", ""Vayne""]",[],[],0,leaguepedia_cargo_patch_range,1
LPL/2026 Season/Split 2_Week 5_13_1,2026-05-03 12:00:00,26.09,LPL 2026 Split 2,Ninjas in Pyjamas.CN,Bilibili Gaming,Bilibili Gaming,"[""Varus"", ""Lucian"", ""Rumble"", ""Vi"", ""Vayne""]","[""Orianna"", ""Ezreal"", ""Ashe"", ""Aurora"", ""Akali""]","[""Jarvan IV"", ""Corki"", ""Nami"", ""Gnar"", ""Ryze""]","[""Annie"", ""Lulu"", ""Yunara"", ""Nocturne"", ""Jayce""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_4_1,2026-05-03 12:29:00,26.09,LCP 2026 Split 2,CTBC Flying Oyster,Team Secret Whales,CTBC Flying Oyster,"[""Ashe"", ""Pantheon"", ""Lucian"", ""Naafiri"", ""Vi""]","[""Nocturne"", ""Jarvan IV"", ""Bard"", ""K'Sante"", ""Orianna""]","[""Varus"", ""Karma"", ""Xin Zhao"", ""Sivir"", ""Ryze""]","[""Rumble"", ""Ezreal"", ""Nautilus"", ""Trundle"", ""Cassiopeia""]",[],[],1,leaguepedia_cargo_patch_range,0
LPL/2026 Season/Split 2_Week 5_13_2,2026-05-03 13:04:00,26.09,LPL 2026 Split 2,Bilibili Gaming,Ninjas in Pyjamas.CN,Ninjas in Pyjamas.CN,"[""Ezreal"", ""Ambessa"", ""Ashe"", ""Aurora"", ""Lissandra""]","[""Orianna"", ""Varus"", ""Lucian"", ""Nautilus"", ""Karma""]","[""Vi"", ""Anivia"", ""Ahri"", ""Jhin"", ""Seraphine""]","[""Rumble"", ""Bard"", ""Caitlyn"", ""Sejuani"", ""Yone""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_4_2,2026-05-03 13:24:00,26.09,LCP 2026 Split 2,CTBC Flying Oyster,Team Secret Whales,Team Secret Whales,"[""Nocturne"", ""Bard"", ""Jarvan IV"", ""Vi"", ""Wukong""]","[""Ashe"", ""Orianna"", ""Pantheon"", ""Naafiri"", ""Lee Sin""]","[""Annie"", ""Corki"", ""Nami"", ""Sejuani"", ""Jayce""]","[""Lucian"", ""Milio"", ""Hwei"", ""Skarner"", ""Olaf""]",[],[],0,leaguepedia_cargo_patch_range,1
LPL/2026 Season/Split 2_Week 5_13_3,2026-05-03 14:00:00,26.09,LPL 2026 Split 2,Ninjas in Pyjamas.CN,Bilibili Gaming,Bilibili Gaming,"[""Twisted Fate"", ""Lucian"", ""Renekton"", ""Naafiri"", ""Malzahar""]","[""Orianna"", ""Ezreal"", ""Ambessa"", ""Renata Glasc"", ""Rakan""]","[""Varus"", ""Xin Zhao"", ""LeBlanc"", ""Alistar"", ""Sion""]","[""Aurora"", ""Pantheon"", ""Miss Fortune"", ""Gragas"", ""Sylas""]",[],[],0,leaguepedia_cargo_patch_range,1
LCP/2026 Season/Split 2_Week 5_4_3,2026-05-03 14:23:00,26.09,LCP 2026 Split 2,Team Secret Whales,CTBC Flying Oyster,Team Secret Whales,"[""Bard"", ""Jarvan IV"", ""Pantheon"", ""Xayah"", ""Kalista""]","[""Ashe"", ""Orianna"", ""Nocturne"", ""Ahri"", ""Viktor""]","[""Vi"", ""Lulu"", ""Yunara"", ""Taliyah"", ""Yorick""]","[""Naafiri"", ""Aurora"", ""Gnar"", ""Caitlyn"", ""Lux""]",[],[],1,leaguepedia_cargo_patch_range,0
