match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
LJL/2026 Season/Spring Series_Week 4_1_2,2026-05-21 09:00:00,26.10,LJL 2026 Spring Series,FENNEL,Uwinks,FENNEL,"[""Ezreal"", ""Sion"", ""Nocturne"", ""Hwei"", ""Gnar""]","[""Vi"", ""Rumble"", ""Varus"", ""LeBlanc"", ""Akali""]","[""Lee Sin"", ""Miss Fortune"", ""Rell"", ""K'Sante"", ""Annie""]","[""Kai'Sa"", ""Pantheon"", ""Neeko"", ""Aurora"", ""Smolder""]",[],[],1,leaguepedia_cargo_patch_range,0
LCK/2026 Season/Rounds 1-2_Week 8_3_2,2026-05-21 09:05:00,26.10,LCK 2026 Rounds 1-2,Hanwha Life Esports,BNK FEARX,Hanwha Life Esports,"[""Varus"", ""Bard"", ""Ziggs"", ""Naafiri"", ""Lee Sin""]","[""Orianna"", ""Cassiopeia"", ""Jarvan IV"", ""Nocturne"", ""Wukong""]","[""Lucian"", ""Milio"", ""Twisted Fate"", ""Sion"", ""Trundle""]","[""Ashe"", ""Seraphine"", ""Mel"", ""Pantheon"", ""Ambessa""]",[],[],1,leaguepedia_cargo_patch_range,0
LJL/2026 Season/Spring Series_Week 4_2_1,2026-05-21 10:03:00,26.10,LJL 2026 Spring Series,Rising Gaming,New Meta,New Meta,"[""Nocturne"", ""Lucian"", ""Sion"", ""Ornn"", ""Orianna""]","[""Bard"", ""Ezreal"", ""Akali"", ""Nautilus"", ""Yunara""]","[""Rumble"", ""Jayce"", ""Viktor"", ""Senna"", ""Tahm Kench""]","[""Xin Zhao"", ""Karma"", ""Jhin"", ""Sylas"", ""Irelia""]",[],[],0,leaguepedia_cargo_patch_range,1
VCS/2026 Season/Summer Season_Week 2_3_1,2026-05-21 10:08:00,26.09,VCS 2026 Summer,Saigon Dino,SN CyberCore Esports,Saigon Dino,"[""Nautilus"", ""Nocturne"", ""Lucian"", ""Gwen"", ""Pyke""]","[""Orianna"", ""Pantheon"", ""Rumble"", ""Aurora"", ""Akali""]","[""Ezreal"", ""Bard"", ""Sion"", ""Jarvan IV"", ""Viktor""]","[""Varus"", ""Cassiopeia"", ""Skarner"", ""Ambessa"", ""Naafiri""]",[],[],1,leaguepedia_cargo_patch_range,0
LCK/2026 Season/Rounds 1-2_Week 8_4_1,2026-05-21 10:22:00,26.10,LCK 2026 Rounds 1-2,Dplus Kia,HANJIN BRION,Dplus Kia,"[""Varus"", ""Karma"", ""Lee Sin"", ""Cassiopeia"", ""LeBlanc""]","[""Nocturne"", ""Lucian"", ""Elise"", ""Xin Zhao"", ""Naafiri""]","[""Orianna"", ""Nautilus"", ""Ezreal"", ""Rumble"", ""Pantheon""]","[""Jarvan IV"", ""Bard"", ""Sivir"", ""Viktor"", ""K'Sante""]",[],[],1,leaguepedia_cargo_patch_range,0
LJL/2026 Season/Spring Series_Week 4_2_2,2026-05-21 10:53:00,26.10,LJL 2026 Spring Series,New Meta,Rising Gaming,Rising Gaming,"[""Bard"", ""Akali"", ""Ezreal"", ""Yunara"", ""Caitlyn""]","[""Nocturne"", ""Vi"", ""Varus"", ""Renekton"", ""Gwen""]","[""Orianna"", ""Skarner"", ""Ashe"", ""Seraphine"", ""Tryndamere""]","[""Jarvan IV"", ""LeBlanc"", ""Ambessa"", ""Lucian"", ""Milio""]",[],[],0,leaguepedia_cargo_patch_range,1
VCS/2026 Season/Summer Season_Week 2_3_2,2026-05-21 11:04:00,26.09,VCS 2026 Summer,SN CyberCore Esports,Saigon Dino,Saigon Dino,"[""Nocturne"", ""Pantheon"", ""Ashe"", ""Xin Zhao"", ""Vi""]","[""Rumble"", ""Lucian"", ""Renekton"", ""Akali"", ""Gwen""]","[""Jayce"", ""Caitlyn"", ""Braum"", ""Trundle"", ""Sylas""]","[""Miss Fortune"", ""Nautilus"", ""Orianna"", ""K'Sante"", ""Lee Sin""]",[],[],0,leaguepedia_cargo_patch_range,1
LCK/2026 Season/Rounds 1-2_Week 8_4_2,2026-05-21 11:23:00,26.10,LCK 2026 Rounds 1-2,HANJIN BRION,Dplus Kia,HANJIN BRION,"[""Varus"", ""Twisted Fate"", ""Lee Sin"", ""Sion"", ""Yorick""]","[""Nocturne"", ""Karma"", ""Trundle"", ""Pyke"", ""Lucian""]","[""Cassiopeia"", ""Vi"", ""Jayce"", ""Caitlyn"", ""Lux""]","[""Ashe"", ""Xin Zhao"", ""Seraphine"", ""Anivia"", ""Kog'Maw""]",[],[],1,leaguepedia_cargo_patch_range,0
LJL/2026 Season/Spring Series_Week 4_2_3,2026-05-21 11:59:00,26.10,LJL 2026 Spring Series,Rising Gaming,New Meta,Rising Gaming,"[""Nocturne"", ""Vi"", ""Varus"", ""Gwen"", ""Jax""]","[""Bard"", ""Yunara"", ""Ezreal"", ""Akali"", ""Zoe""]","[""Lee Sin"", ""Miss Fortune"", ""Nautilus"", ""Gnar"", ""Aurora""]","[""Neeko"", ""Caitlyn"", ""Trundle"", ""Anivia"", ""Vayne""]",[],[],1,leaguepedia_cargo_patch_range,0
VCS/2026 Season/Summer Season_Week 2_4_1,2026-05-21 12:03:00,26.09,VCS 2026 Summer,ZEN Esports (Vietnamese Team),9Gaming,ZEN Esports (Vietnamese Team),"[""Varus"", ""Nocturne"", ""Lucian"", ""Nautilus""]","[""Orianna"", ""Karma"", ""Pantheon"", ""Caitlyn"", ""Braum""]","[""Jarvan IV"", ""Cassiopeia"", ""Gnar"", ""Jhin"", ""Bard""]","[""Rumble"", ""Xin Zhao"", ""Syndra"", ""Seraphine"", ""Yunara""]",[],[],1,leaguepedia_cargo_patch_range,0
