match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win,pick_source
Hellenic Challengers Cup/2026 Season/Spring Playoffs_Finals_1_4,2026-05-10 13:17:00,26.09,HCC 2026 Spring Playoffs,EKSI EPTA,Zerolag Esports,Zerolag Esports,"['Rumble', 'Annie', 'Sejuani', 'Rakan', 'Gwen']","['Aurelion Sol', 'Caitlyn', 'Vladimir', 'Kennen', 'Braum']","['Renekton', 'Pantheon', 'Aurora', 'Smolder', 'Poppy']","['Jax', 'Skarner', 'Akali', ""Kai'Sa"", 'Rell']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LPL/2026 Season/Split 2_Week 6_10_3,2026-05-10 13:23:00,26.09,LPL 2026 Split 2,JD Gaming,Anyone's Legend,JD Gaming,"['Nocturne', 'Twisted Fate', 'Renekton', 'Ziggs', ""Kai'Sa""]","['Jarvan IV', 'Sion', 'Bard', 'Neeko', 'Nami']","['Jax', 'Maokai', 'Yone', 'Caitlyn', 'Elise']","['Gnar', 'Skarner', 'Azir', 'Jhin', 'Anivia']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 3_4_3,2026-05-10 13:42:00,26.09,Hitpoint 2nd Div Challengers 2026 Spring,Andromeda Gaming,CITA Kaizen Academy,CITA Kaizen Academy,"['Syndra', 'Ambessa', 'Ahri', 'Sylas', 'Zaahen']","['Jarvan IV', 'Nautilus', 'Mel', 'Rell', 'Neeko']","[""Cho'Gath"", 'Nocturne', 'Orianna', ""Kai'Sa"", 'Thresh']","['Sion', 'Aatrox', 'Akali', 'Ezreal', 'Karma']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LEC/2026 Season/Spring Season_Week 7_5_2,2026-05-10 14:10:00,26.09,LEC 2026 Spring,Karmine Corp,GIANTX,GIANTX,"['Nautilus', 'Xin Zhao', 'Elise', 'Sion', 'Vayne']","['Orianna', 'Rumble', 'Ashe', 'LeBlanc', 'Jayce']","['Cassiopeia', 'Vi', 'Viktor', 'Caitlyn', 'Bard']","['Gnar', 'Skarner', 'Azir', 'Ezreal', 'Karma']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LEC/2026 Season/Spring Season_Week 7_5_3,2026-05-10 15:17:00,26.09,LEC 2026 Spring,Karmine Corp,GIANTX,GIANTX,"['Ashe', 'Jarvan IV', 'Annie', 'Jayce', 'Vayne']","['Orianna', 'Rumble', 'Sion', 'Taliyah', 'Akali']","['Brand', 'Naafiri', 'Sylas', 'Corki', 'Nautilus']","['Jax', 'Xin Zhao', 'Ahri', 'Lucian', 'Nami']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_1,2026-05-10 16:13:00,26.09,CBLOL 2026 Split 1 Playoffs,Fluxo W7M,LØS,Fluxo W7M,"['Orianna', 'Varus', 'Nocturne', 'Vayne', 'Ryze']","['Rumble', 'Karma', 'Jarvan IV', 'Cassiopeia', 'Akali']","['Renekton', 'Pantheon', 'Zoe', 'Lucian', 'Milio']","['Kennen', 'Trundle', 'Viktor', 'Caitlyn', 'Bard']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LEC/2026 Season/Spring Season_Week 7_6_1,2026-05-10 16:29:00,26.09,LEC 2026 Spring,G2 Esports,Movistar KOI,Movistar KOI,"['Nautilus', 'Varus', 'Akali', 'Anivia', 'Bard']","['Ashe', 'Lulu', 'Orianna', 'Jarvan IV', 'Xin Zhao']","['Ornn', 'Nocturne', 'Ryze', 'Ezreal', 'Karma']","['Rumble', 'Pantheon', 'Azir', 'Yunara', 'Rakan']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_2,2026-05-10 16:56:00,26.09,CBLOL 2026 Split 1 Playoffs,Fluxo W7M,LØS,LØS,"['Vi', 'Karma', 'Seraphine', 'Neeko', 'Annie']","['Orianna', 'Varus', 'Nautilus', 'Sivir', 'Jhin']","[""K'Sante"", 'Jarvan IV', 'Ahri', 'Ezreal', 'Alistar']","['Rumble', 'Nocturne', 'Ryze', 'Corki', 'Nami']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_3,2026-05-10 17:41:00,26.09,CBLOL 2026 Split 1 Playoffs,Fluxo W7M,LØS,Fluxo W7M,"['Orianna', 'Varus', 'Jayce', 'Aurora', 'Vayne']","['Vi', 'Karma', 'Seraphine', 'Akali', 'Annie']","['Ambessa', 'Aatrox', 'LeBlanc', 'Xayah', 'Rakan']","['Gnar', 'Xin Zhao', 'Taliyah', 'Yunara', 'Neeko']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LEC/2026 Season/Spring Season_Week 7_6_2,2026-05-10 17:41:00,26.09,LEC 2026 Spring,Movistar KOI,G2 Esports,G2 Esports,"['Xin Zhao', 'Ashe', 'Lucian', 'Viktor', 'Yasuo']","['Orianna', 'Varus', 'Caitlyn', 'Anivia', 'Syndra']","['Gnar', 'Jarvan IV', 'Lissandra', ""Kai'Sa"", 'Nautilus']","['Vayne', 'Skarner', 'Ahri', 'Sivir', 'Lulu']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_4,2026-05-10 18:31:00,26.09,CBLOL 2026 Split 1 Playoffs,Fluxo W7M,LØS,LØS,"['Orianna', 'Jayce', 'Seraphine', 'Syndra', 'Aurora']","['Vi', 'Karma', 'Sion', 'Akali', 'Galio']","['Gwen', 'Zaahen', 'Cassiopeia', 'Varus', 'Nautilus']","['Vayne', 'Naafiri', 'Annie', 'Sivir', 'Rell']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LEC/2026 Season/Spring Season_Week 7_6_3,2026-05-10 18:38:00,26.09,LEC 2026 Spring,G2 Esports,Movistar KOI,Movistar KOI,"['Varus', 'Vi', 'Akali', 'Poppy', 'Viktor']","['Nami', 'Caitlyn', 'Orianna', 'Trundle', 'Olaf']","[""K'Sante"", 'Lee Sin', 'LeBlanc', 'Miss Fortune', 'Seraphine']","['Anivia', 'Xin Zhao', 'Galio', 'Ashe', 'Rell']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_5,2026-05-10 19:20:00,26.09,CBLOL 2026 Split 1 Playoffs,Fluxo W7M,LØS,Fluxo W7M,"['Orianna', 'Jayce', 'Aurora', 'Syndra', 'Camille']","['Vi', 'Karma', 'Seraphine', 'Wukong', 'Sylas']","['Sion', 'Maokai', 'Yone', 'Jinx', 'Thresh']","['Olaf', 'Skarner', 'Twisted Fate', 'Aphelios', 'Lulu']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_3_1,2026-05-10 20:07:00,26.09,LCS 2026 Spring,FlyQuest,Cloud9,FlyQuest,"['Varus', 'Jarvan IV', 'Ambessa', 'Anivia', 'Viktor']","['Orianna', 'Bard', 'Xin Zhao', 'Taliyah', 'Ziggs']","['Rumble', 'Shen', 'Cassiopeia', 'Lucian', 'Milio']","[""K'Sante"", 'Vi', 'Annie', 'Ezreal', 'Karma']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_3_2,2026-05-10 21:06:00,26.09,LCS 2026 Spring,FlyQuest,Cloud9,Cloud9,"['Nocturne', 'Ambessa', 'Ryze', 'Jayce', 'Anivia']","['Orianna', 'Bard', 'Varus', 'Ziggs', 'Taliyah']","['Sion', 'Jarvan IV', 'Aurora', 'Ashe', 'Lulu']","['Renekton', 'Xin Zhao', 'Viktor', 'Senna', 'Seraphine']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_3_3,2026-05-10 22:02:00,26.09,LCS 2026 Spring,Cloud9,FlyQuest,Cloud9,"['Ziggs', 'Nocturne', 'Taliyah', 'Yorick', 'Jayce']","['Orianna', 'Varus', 'Caitlyn', 'Ambessa', 'Vayne']","['Gnar', 'Sejuani', 'Twisted Fate', 'Corki', 'Nami']","['Anivia', 'Dr. Mundo', 'Hwei', 'Jhin', 'Bard']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_4_1,2026-05-10 22:54:00,26.09,LCS 2026 Spring,Team Liquid,LYON (2024 American Team),LYON (2024 American Team),"['Nocturne', 'Pantheon', 'Lee Sin', 'Ryze', 'Sion']","['Orianna', 'Bard', 'Varus', 'Rumble', 'Gwen']","['Gragas', 'Xin Zhao', 'Aurora', 'Ashe', 'Seraphine']","['Jayce', 'Jarvan IV', 'Twisted Fate', 'Ezreal', 'Karma']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_4_2,2026-05-10 23:47:00,26.09,LCS 2026 Spring,LYON (2024 American Team),Team Liquid,Team Liquid,"['Bard', 'Varus', 'Akali', 'Ornn', 'Ambessa']","['Pantheon', 'Nocturne', 'Orianna', 'Wukong', 'Annie']","['Ryze', 'Vi', 'Ahri', 'Lucian', 'Milio']","['Rumble', 'Skarner', 'Yone', 'Caitlyn', 'Neeko']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCS/2026 Season/Spring Season_Week 6_4_3,2026-05-11 00:44:00,26.09,LCS 2026 Spring,Team Liquid,LYON (2024 American Team),LYON (2024 American Team),"['Pantheon', 'Lee Sin', 'Renekton', 'Wukong', 'Naafiri']","['Orianna', 'Varus', 'Lulu', 'Azir', 'Akali']","['Jax', 'Sejuani', 'Viktor', 'Xayah', 'Rakan']","['Anivia', 'Nocturne', 'Sylas', 'Corki', 'Nami']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_1_1,2026-05-11 05:05:00,26.09,LCK CL 2026 Rounds 1-2,Nongshim Esports Academy,Kiwoom DRX Challengers,Kiwoom DRX Challengers,"['Varus', 'Bard', 'Karma', 'Akali', 'Ahri']","['Rumble', 'Jarvan IV', 'Nocturne', 'Lucian', 'Ashe']","['Sion', 'Vi', 'Ryze', 'Ezreal', 'Neeko']","['Jayce', 'Pantheon', 'Orianna', 'Yunara', 'Lulu']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_1_2,2026-05-11 05:55:00,26.09,LCK CL 2026 Rounds 1-2,Kiwoom DRX Challengers,Nongshim Esports Academy,Nongshim Esports Academy,"['Bard', 'Vayne', 'Twisted Fate', 'Anivia', 'Akali']","['Rumble', 'Nocturne', 'Jarvan IV', 'Alistar', 'Braum']","['Varus', 'Lee Sin', 'Annie', 'Ashe', 'Seraphine']","['Gnar', 'Xin Zhao', 'Cassiopeia', 'Miss Fortune', 'Nautilus']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_1_3,2026-05-11 06:49:00,26.09,LCK CL 2026 Rounds 1-2,Nongshim Esports Academy,Kiwoom DRX Challengers,Nongshim Esports Academy,"['Karma', 'Vayne', 'Rumble', 'Mel', 'Dr. Mundo']","['Bard', 'Nocturne', 'Jarvan IV', 'Wukong', 'Naafiri']","['Renekton', 'Maokai', 'Twisted Fate', 'Lucian', 'Milio']","['Jax', 'Trundle', 'Aurora', 'Caitlyn', 'Nami']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_2_1,2026-05-11 07:55:00,26.09,LCK CL 2026 Rounds 1-2,Gen.G Global Academy,T1 Esports Academy,T1 Esports Academy,"['Varus', 'Bard', 'Karma', 'Vayne', 'Orianna']","['Rumble', 'Jarvan IV', 'Nocturne', 'Jayce', 'Viktor']","['Gnar', 'Pantheon', 'Aurora', 'Mel', 'Nautilus']","['Sion', 'Xin Zhao', 'Annie', 'Ashe', 'Seraphine']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_2_2,2026-05-11 08:38:00,26.09,LCK CL 2026 Rounds 1-2,T1 Esports Academy,Gen.G Global Academy,T1 Esports Academy,"['Varus', 'Karma', 'Milio', 'Twisted Fate', 'Ryze']","['Orianna', 'Rumble', 'Bard', 'Vayne', 'Ambessa']","['Renekton', 'Nocturne', 'Ahri', 'Ezreal', 'Neeko']","[""K'Sante"", 'Jarvan IV', 'LeBlanc', 'Yunara', 'Lulu']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_3_1,2026-05-11 09:42:00,26.09,LCK CL 2026 Rounds 1-2,DN SOOPers Challengers,BNK FEARX Youth,DN SOOPers Challengers,"['Varus', 'Neeko', 'Karma', 'Sion', 'Pantheon']","['Rumble', 'Jarvan IV', 'Akali', 'Lucian', 'Nautilus']","[""K'Sante"", 'Xin Zhao', 'Orianna', 'Ezreal', 'Bard']","['Jayce', 'Nocturne', 'Ahri', 'Yunara', 'Lulu']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
LCK CL/2026 Season/Rounds 1-2_Week 7_3_2,2026-05-11 10:28:00,26.09,LCK CL 2026 Rounds 1-2,DN SOOPers Challengers,BNK FEARX Youth,DN SOOPers Challengers,"['Varus', 'Karma', 'Vi', 'Vayne', 'Ryze']","['Rumble', 'Jarvan IV', 'Akali', 'LeBlanc', 'Gnar']","['Gwen', 'Skarner', 'Anivia', 'Lucian', 'Milio']","['Sion', 'Pantheon', 'Aurora', 'Miss Fortune', 'Nautilus']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
