network,candidate_unique_edges,candidate_nodes,analysis_edge_rule,retained_analysis_edges,retained_analysis_nodes,visualization_rule,visualized_edges,visualized_nodes,visualization_min_edge_weight,hidden_weak_nodes_in_figure,note
champion_synergy,5228,166,games_together >= 2 and smoothed synergy weight > 0,1293,131,top 70 edges by weight; nodes not incident to those edges are hidden,70,41,2.8235294117647065,90,CSV keeps reliable pair rows; centrality/figures remove non-positive or visually weak links.
champion_counter,12400,166,matchup_games >= 2 and smoothed counter weight > 0,3202,148,top 70 edges by weight; nodes not incident to those edges are hidden,70,41,4.074074074074075,107,Directed weak matchup links are removed before centrality because they do not show a positive counter advantage.
team_champion_2mode,11284,473,all observed team-champion pick edges are retained in CSV,11284,473,OP-pick edges plus top 70 team-champion frequency edges,70,63,1.0,410,2-mode figure hides long-tail team/champion nodes for readability; summary CSV keeps them.
