combo_size,composition,team_has_op,combo_contains_op,games,wins,example_matches,op_champions,win_rate,smoothed_win_rate,op_status_baseline_win_rate,lift_vs_op_status_baseline,lift_vs_global_50
3,Ashe + Seraphine + Vayne,False,False,9,8,"Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_1, LPL/2026 Season/Split 2_Week 6_10_2, Arabian League/2026 Season/Spring Playoffs_Round 1_2_1",,0.8888888888888888,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Anivia + Kai'Sa,False,False,5,5,"LEC/2026 Season/Spring Season_Week 6_2_2, LEC/2026 Season/Spring Season_Week 6_6_3, Arabian League/2026 Season/Spring Split_Last Stand_5_3",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Cho'Gath + Tristana,False,False,5,5,"Streamers Clash/Season 4_Day 1_2_1, Streamers Clash/Season 4_Day 4_4_1, Streamers Clash/Season 4_Day 6_2_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Galio + Vayne,False,False,5,5,"LES/2026 Season/Spring Split_Week 7_3_1, Streamers Clash/Season 4_Day 4_2_1, LCK/2026 Season/Rounds 1-2_Week 8_6_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Gnar + Sejuani,False,False,5,5,"LCS/2026 Season/Spring Season_Week 5_1_3, LCS/2026 Season/Spring Season_Week 6_3_3, LCS/2026 Season/Spring Playoffs_Round 1_1_5",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Gwen + Nocturne,False,False,5,5,"LCK CL/2026 Season/Rounds 1-2_Week 6_1_1, LIT/2026 Season/Spring Playoffs_Round 4_1_1, LPL/2026 Season/Split 2_Week 6_7_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Poppy + Xin Zhao,False,False,5,5,"Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_1_1, LCP/2026 Season/Split 2 Playoffs_Round 1_1_4, LJL/2026 Season/Spring Series_Week 5_4_3",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Rell + Sejuani,False,False,5,5,"LFL/2026 Season/Spring Playoffs_Round 1_6_2, Arabian League 2nd Division/2026 Season/Spring Playoffs_Round 2_1_2, Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 3_2_4",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Ahri + Karma + Sivir,False,False,5,5,"LPLOL/2026 Season/Spring Split_Week 2_3_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_1_3, LPL/2026 Season/Split 2 Playoffs_Round 2_4_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Anivia + Milio + Skarner,False,False,5,5,"Prime League 1st Division/2026 Season/Spring Split_Week 6_5_2, Road Of Legends/2026 Season/Spring Split_Week 6_4_2, LCK CL/2026 Season/Rounds 1-2_Week 7_3_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Annie + Caitlyn + Gnar,False,False,5,5,"LEC/2026 Season/Spring Season_Week 7_1_2, LCP/2026 Season/Split 2_Week 6_3_1, Prime League 1st Division/2026 Season/Spring Split_Week 7_4_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Annie + K'Sante + Naafiri,False,False,5,5,"Esports World Cup 2026/Online Qualifiers/Korea_Round 1_1_2, LPLOL/2026 Season/Spring Split_Week 4_6_1, LFL/2026 Season/Spring Playoffs_Round 4_2_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Ashe + Dr. Mundo + Seraphine,False,False,5,5,"Arabian League/2026 Season/Spring Split_Last Stand_3_1, Benelux Ascend Series/2026 Season/Spring Split_Week 6_3_1, North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Cassiopeia + Lee Sin + Nautilus,False,False,5,5,"LPL/2026 Season/Split 2_Week 7_2_3, Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 1_2_3, LPL/2026 Season/Split 2 Playoffs_Round 4_1_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Cassiopeia + Nami + Sion,False,False,5,5,"LPL/2026 Season/Split 2_Week 7_6_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_1, LCS/2026 Season/Spring Playoffs_Round 1_1_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Ezreal + K'Sante + Lee Sin,False,False,5,5,"LCK/2026 Season/Rounds 1-2_Week 8_2_1, LCK CL/2026 Season/Rounds 1-2_Week 8_9_1, VCS/2026 Season/Summer Season_Week 3_1_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Gnar + Ryze + Vi,False,False,5,5,"LCK CL/2026 Season/Rounds 1-2_Week 7_5_2, LPL/2026 Season/Split 2_Week 7_3_2, LCK/2026 Season/Rounds 1-2_Week 7_10_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Gragas + Rakan + Xayah,False,False,5,5,"LCS/2026 Season/Spring Season_Week 5_2_2, Benelux Ascend Series/2026 Season/Spring Split_Week 6_1_3, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 3_4_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Jarvan IV + Jayce + Yunara,False,False,5,5,"Prime League 1st Division/2026 Season/Spring Split_Week 6_2_1, LCK CL/2026 Season/Rounds 1-2_Week 6_6_1, Benelux Ascend Series/2026 Season/Spring Split_Week 7_1_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Lee Sin + Rakan + Xayah,False,False,5,5,"LCS/2026 Season/Spring Season_Week 5_2_2, LEC/2026 Season/Spring Playoffs_Round 1_2_3, Prime League 1st Division/2026 Season/Spring Playoffs_Third-Place Match_1_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Lucian + Nami + Viktor,False,False,5,5,"CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_3, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_3_2, LCK/2026 Season/Rounds 1-2_Week 7_9_3",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Lucian + Nami + Wukong,False,False,5,5,"Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_3, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 3_4_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_1",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
3,Milio + Renekton + Twisted Fate,False,False,5,5,"Rift Legends/2026 Season/Spring Split_Week 5_4_3, LCK CL/2026 Season/Rounds 1-2_Week 7_1_3, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_1_2",,1.0,0.75,0.49884348496530456,0.25115651503469544,0.25
2,Aatrox + Wukong,False,False,8,7,"LEC/2026 Season/Spring Season_Week 6_2_3, Arabian League/2026 Season/Spring Split_Last Stand_5_1, TCL/2026 Season/Spring Playoffs_Round 1_1_1",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Anivia + Rakan,False,False,8,7,"LEC/2026 Season/Spring Season_Week 6_2_2, LEC/2026 Season/Spring Season_Week 6_6_3, Benelux Ascend Series/2026 Season/Spring Split_Week 7_3_2",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,LeBlanc + Varus,False,False,8,7,"Arabian League 2nd Division/2026 Season/Spring Split_Week 4_2_1, LPL/2026 Season/Split 2_Week 5_13_3, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Finals_1_4",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Lee Sin + Rakan,False,False,8,7,"LCS/2026 Season/Spring Season_Week 5_2_2, North American Challengers League/2026 Season/Spring Season_Week 7_5_2, LEC/2026 Season/Spring Playoffs_Round 1_2_3",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Mel + Orianna,False,False,8,7,"LCK CL/2026 Season/Rounds 1-2_Week 7_8_1, LJL/2026 Season/Spring Series_Week 3_2_2, Streamers Clash/Season 4_Day 2_1_1",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Vayne + Viktor,False,False,8,7,"LPL/2026 Season/Split 2_Week 7_4_3, LCK CL/2026 Season/Rounds 1-2_Week 7_10_3, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_1",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Vayne + Xin Zhao,False,False,8,7,"Road Of Legends/2026 Season/Spring Split_Week 6_2_1, North American Challengers League/2026 Season/Spring Season_Week 7_2_3, LPL/2026 Season/Split 2_Week 6_10_2",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
3,Annie + Milio + Xin Zhao,False,False,8,7,"Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_1, Circuito Desafiante/2026 Season/Split 1 Playoffs_Round 1_1_1, LJL/2026 Season/Spring Series_Week 2_4_2",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
