combo_size,opponent_combo,games_against_op,wins_against_op,example_winning_matches,faced_op_champions,win_rate_against_op,smoothed_win_rate_against_op
2,Ryze + Zaahen,3,2,"LIT/2026 Season/Summer Promotion_Finals_1_1, LCS/2026 Season/Spring Playoffs_Round 3_1_1","Nocturne, Senna",0.6666666666666666,0.5625
2,Vi + Yorick,3,2,"LCK/2026 Season/Rounds 1-2_Week 9_1_2, 2026 Asia Masters_Day 2_2_2","Nocturne, Senna",0.6666666666666666,0.5625
2,Ezreal + Jarvan IV,5,3,"TCL/2026 Season/Spring Split_Week 6_5_1, LES/2026 Season/Spring Playoffs_Semifinals_1_2, Arabian League/2026 Season/Summer Promotion_Round 1_3_1","Nocturne, Senna",0.6,0.55
2,Karma + Xin Zhao,5,3,"North American Challengers League/2026 Season/Spring Season_Week 7_6_2, LJL/2026 Season/Spring Series_Week 4_2_1, LCK/2026 Season/Road to MSI_Round 4_1_4","Nocturne, Senna",0.6,0.55
2,Lucian + Wukong,4,2,"LCS/2026 Season/Spring Playoffs_Round 2_2_1, EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1","Nocturne, Senna",0.5,0.5
2,Milio + Wukong,4,2,"LCS/2026 Season/Spring Playoffs_Round 2_2_1, EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1","Nocturne, Senna",0.5,0.5
2,Pantheon + Ryze,4,2,"Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1, LJL/2026 Season/Spring Series_Semifinals_1_2","Nocturne, Senna",0.5,0.5
2,Rell + Wukong,4,2,"LES/2026 Season/Spring Split_Week 7_2_2, EMEA Masters/2026 Season/Spring Play-In_Round 3_3_1","Nocturne, Senna",0.5,0.5
2,Renekton + Xin Zhao,4,2,"LPL/2026 Season/Split 2_Week 6_7_2, CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2","Nocturne, Senna",0.5,0.5
2,Ryze + Xin Zhao,4,2,"LPL/2026 Season/Split 2_Week 6_7_2, CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2","Nocturne, Senna",0.5,0.5
