match_id,date,patch,op_side,op_team,non_op_team,op_champions,op_team_win
NLC/2026 Season/Spring Split_Day 1_4_1,2026-05-25 17:05:00,26.10,red,Verdant,Deer Gaming,Senna,1
NLC/2026 Season/Spring Split_Day 1_5_1,2026-05-25 18:14:00,26.10,blue,Arctic Pandas,Lundqvist Lightside,Senna,1
LEC/2026 Season/Spring Playoffs_Round 3_1_5,2026-05-25 18:29:00,26.10,red,Movistar KOI,G2 Esports,Senna,0
NLC/2026 Season/Spring Split_Day 1_13_1,2026-05-25 19:45:00,26.10,blue,Verdant,DMG Esports,Senna,1
Esports World Cup 2026/Online Qualifiers/Korea_Round 4_2_2,2026-05-26 08:01:00,26.10,red,Hanwha Life Esports,Dplus Kia,Senna,1
Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 3_1_4,2026-05-26 22:41:00,26.10,blue,Golden Lions,Volticons,Senna,1
LCK/2026 Season/Rounds 1-2_Week 9_1_2,2026-05-27 09:12:00,26.10,red,Hanwha Life Esports,Gen.G,Senna,0
Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_3,2026-05-27 17:04:00,26.10,blue,G2 NORD,Berlin International Gaming,Senna,1
NLC/2026 Season/Spring Split_Day 2_2_1,2026-05-27 17:05:00,26.10,red,Arctic Pandas,Ruddy Corporation,Senna,0
Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4,2026-05-27 18:42:00,26.10,red,The Secret Club,Magaza Esports,Senna,0
North American Challengers League/2026 Season/Spring Playoffs_Round 2_3_4,2026-05-27 23:11:00,26.10,red,Supernova,Winthrop University,Senna,1
Streamers Clash/Season 4_Day 7_5_1,2026-05-28 19:54:00,26.10,blue,SILNĚJŠÍ SE XNAPYM,VEDICI DEEMONS,Senna,0
North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,2026-05-28 22:00:00,26.10,blue,Winthrop University,NRG,Senna,0
LPL/2026 Season/Split 2 Playoffs_Round 1_1_3,2026-05-29 08:05:00,26.10,red,ThunderTalk Gaming,JD Gaming,Senna,0
NLC/2026 Season/Spring Playoffs_Round 1_1_3,2026-05-29 17:56:00,26.10,blue,Ruddy Corporation,Deer Gaming,Senna,0
NLC/2026 Season/Spring Playoffs_Round 1_2_2,2026-05-29 18:55:00,26.10,red,Arctic Pandas,Bulldog Esports,Senna,1
Benelux Ascend Series/2026 Season/Spring Playoffs_Round 2_1_4,2026-05-29 20:18:00,26.10,red,RED OUAT,FUSE,Senna,0
Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3,2026-05-30 13:12:00,26.10,blue,G2 NORD,Eintracht Spandau,Senna,1
CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2,2026-05-30 17:07:00,26.11,blue,LØS,Fluxo W7M,Nocturne,0
LCP/2026 Season/Split 2 Playoffs_Round 3_1_3,2026-05-31 10:54:00,26.10,blue,Team Secret Whales,Deep Cross Gaming,Senna,0
CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1,2026-05-31 16:11:00,26.11,blue,LØS,RED Canids,Nocturne,1
LCS/2026 Season/Spring Playoffs_Round 1_4_2,2026-05-31 21:02:00,26.11,blue,Team Liquid,Shopify Rebellion,Nocturne,1
PCS/2026 Season/Spring Season_Playoffs Round 4_1_1,2026-06-01 09:05:00,26.10,red,Frank Esports,CTBC Flying Oyster Academy,Senna,1
Circuito Desafiante/2026 Season/Split 1 Playoffs_Finals_1_1,2026-06-01 20:21:00,26.11,blue,KaBuM! Ilha das Lendas,Vivo Keyd Stars Academy,Nocturne,1
LPL/2026 Season/Split 2 Playoffs_Round 1_5_3,2026-06-02 11:01:00,26.10,blue,ThunderTalk Gaming,LGD Gaming,Senna,1
Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_2_3,2026-06-02 15:50:00,26.11,red,Nightbirds,eSuba,Nocturne,1
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,2026-06-02 21:47:00,26.11,red,Marere Invokers,Barulhinhos,Nocturne,0
PCS/2026 Season/Spring Season_Finals_1_3,2026-06-03 10:40:00,26.10,blue,Frank Esports,CTBC Flying Oyster Academy,Senna,1
LJL/2026 Season/Spring Series_Week 6_2_3,2026-06-03 12:13:00,26.10,red,New Meta,Uwinks,Senna,0
LES/2026 Season/Spring Playoffs_Semifinals_1_2,2026-06-03 15:57:00,26.10,blue,Barça eSports,Team Heretics Academy,Senna,0
Arabian League/2026 Season/Summer Promotion_Round 1_3_1,2026-06-03 16:06:00,26.11,blue,GnG Amazigh,NextGeneration Esports,Nocturne,0
NLC/2026 Season/Spring Playoffs_Round 3_1_3,2026-06-03 18:09:00,26.11,red,Deer Gaming,Ruddy Corporation,Nocturne,1
Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3,2026-06-03 18:57:00,26.11,blue,Mind Blue eSports,FUSE,Nocturne,1
Arabian League/2026 Season/Summer Promotion_Round 2_1_1,2026-06-04 17:23:00,26.11,red,JSK Esports,Pyramid IV Esports,Nocturne,1
LES/2026 Season/Spring Playoffs_Semifinals_2_4,2026-06-04 18:07:00,26.10,red,UCAM Esports,Movistar KOI Fénix,Senna,0
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1,2026-06-04 20:05:00,26.11,red,Kuma eSports B,Marere Invokers,Nocturne,0
NLC/2026 Season/Spring Playoffs_Finals_1_2,2026-06-05 17:00:00,26.11,red,Ruddy Corporation,Verdant,Nocturne,0
LES/2026 Season/Spring Playoffs_Finals_1_3,2026-06-05 17:53:00,26.10,blue,UCAM Esports,Team Heretics Academy,Senna,1
Benelux Ascend Series/2026 Season/Spring Playoffs_Finals_1_2,2026-06-05 17:59:00,26.11,blue,SNOOZE Esports,Mind Blue eSports,Nocturne,1
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_1,2026-06-05 20:10:00,26.11,red,Marere Invokers,Barulhinhos,Nocturne,1
Nexus League/2026 Season/Spring Playoffs_Round 2_1_3,2026-06-06 11:58:00,26.10,red,Project Conquerors,Caldya Esport,Senna,1
Road Of Legends/2026 Season/Spring Playoffs_Finals_1_3,2026-06-06 17:49:00,26.11,blue,Frites Esports Club,mCon esports,Nocturne,1
LCS/2026 Season/Spring Playoffs_Round 2_1_1,2026-06-06 20:09:00,26.11,blue,FlyQuest,Team Liquid,Nocturne,0
LCK/2026 Season/Road to MSI_Round 2_1_3,2026-06-07 09:56:00,26.11,red,KT Rolster,Dplus Kia,Nocturne,1
Nexus League/2026 Season/Spring Playoffs_Finals_1_2,2026-06-07 10:58:00,26.10,blue,Project Conquerors,Karmine Corp Blue Stars,Senna,1
LCP/2026 Season/Split 2 Playoffs_Finals_1_4,2026-06-07 11:47:00,26.10,blue,Team Secret Whales,Deep Cross Gaming,Senna,1
Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 2_1_3,2026-06-07 12:00:00,26.10,red,Priority,Andromeda Gaming,Senna,0
LEC/2026 Season/Spring Playoffs_Finals_1_5,2026-06-07 18:59:00,26.10,blue,G2 Esports,Karmine Corp,Senna,1
LCS/2026 Season/Spring Playoffs_Round 2_2_1,2026-06-07 20:11:00,26.11,red,Cloud9,LYON (2024 American Team),Nocturne,0
LPL/2026 Season/Split 2 Playoffs_Round 3_1_2,2026-06-08 10:30:00,26.10,blue,Bilibili Gaming,Anyone's Legend,Senna,1
EMEA Masters/2026 Season/Spring Play-In_Round 1_5_1,2026-06-08 15:06:00,26.11,red,GOAL,mCon esports,Nocturne,1
EMEA Masters/2026 Season/Spring Play-In_Round 1_1_1,2026-06-08 15:12:00,26.11,red,Partizan Sangal,Karmine Corp Blue,Nocturne,0
EMEA Masters/2026 Season/Spring Play-In_Round 2_8_1,2026-06-08 16:32:00,26.11,blue,Partizan Sangal,Bubliki,Nocturne,1
EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1,2026-06-08 16:35:00,26.11,blue,Bomba Team,Ruddy Corporation,Nocturne,0
EMEA Masters/2026 Season/Spring Play-In_Round 3_3_1,2026-06-08 18:04:00,26.11,red,Otter Side,Bomba Team,Nocturne,0
EMEA Masters/2026 Season/Spring Play-In_Round 3_4_1,2026-06-08 18:04:00,26.11,blue,Partizan Sangal,GOAL,Nocturne,1
EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1,2026-06-08 18:05:00,26.11,red,FN Esports,Frites Esports Club,Nocturne,0
EMEA Masters/2026 Season/Spring Play-In_Round 4_3_1,2026-06-08 19:25:00,26.11,blue,Partizan Sangal,Ruddy Corporation,Nocturne,1
EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1,2026-06-08 20:33:00,26.11,blue,GOAL,Nightbirds,Nocturne,1
Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,2026-06-08 21:06:00,26.11,red,LØS,Vivo Keyd Stars,Nocturne,0
2026 Asia Masters_Day 2_2_2,2026-06-09 08:41:00,26.11,red,Bilibili Gaming Junior,T1 Esports Academy,Nocturne,0
EMEA Masters/2026 Season/Spring Play-In_Qualification Round_3_1,2026-06-09 16:55:00,26.11,blue,Karmine Corp Blue,Verdant,Nocturne,1
EMEA Masters/2026 Season/Spring Play-In_Qualification Round_4_2,2026-06-09 17:47:00,26.11,blue,Bomba Team,Frites Esports Club,Nocturne,1
Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1,2026-06-09 20:07:00,26.11,red,Golden Lions,Volticons,Nocturne,0
EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_2_1,2026-06-10 15:05:00,26.11,blue,HMBLE,UCAM Esports,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_6_3,2026-06-10 18:58:00,26.11,red,Forsaken (Polish Team),PCIFIC Esports,Nocturne,1
Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1,2026-06-10 21:23:00,26.11,red,paiN Gaming,LØS,Nocturne,0
