Patch,matches,first_date,last_date,tournaments,patch_number,is_latest_patch,meets_min_matches,selected,selection_reason
26.12,4,2026-06-13 14:31:00,2026-06-13 17:26:00,Komplettligaen 2026 Spring Playoffs,2612,True,False,True,analysis patch range: Patch >= 26.09
26.11,444,2026-05-30 16:11:00,2026-06-15 17:53:00,"Arabian League 2026 Summer Promotion, Asia Masters 2026, Asia Masters 2026: APAC Qualifier, Asian Games 2026 Qualifier, Benelux Ascend Series 2026 Spring Playoffs, CBLOL 2026 Split 1 Playoffs, CD 2026 Split 1 Playoffs, CD 2026 Split 2 Promotion",2611,False,True,True,analysis patch range: Patch >= 26.09
26.10,895,2026-05-14 20:09:00,2026-06-14 10:20:00,"Benelux Ascend Series 2026 Spring Playoffs, CBLOL 2026 Split 1 Playoffs, CD 2026 Split 1 Playoffs, CD 2026 Split 2 Open Qualifier, Comic Con Baltics 2026, EBL 2026 Spring Playoffs, Esports World Cup 2026 Online Qualifier: Asia-Pacific, Esports World Cup 2026 Online Qualifier: Korea",2610,False,True,True,analysis patch range: Patch >= 26.09
26.09,864,2026-04-30 18:09:00,2026-05-28 11:03:00,"Arabian League 2026 Spring, Arabian League 2026 Spring Playoffs, Arabian League 2nd Division 2026 Spring, Arabian League 2nd Division 2026 Spring Playoffs, Benelux Ascend Series 2026 Spring, CBLOL 2026 Split 1, CBLOL 2026 Split 1 Playoffs, CD 2026 Split 1 Playoffs",2609,False,True,True,analysis patch range: Patch >= 26.09
