source,target,teams_using_both,teams_using_pair_with_op_context
Jayce,Renekton,85,0
Varus,Yunara,85,0
Ambessa,Lee Sin,84,0
Ambessa,Nami,84,0
Ambessa,Sivir,84,0
Caitlyn,Sivir,84,0
Alistar,Pantheon,84,0
Ambessa,Naafiri,84,0
Corki,Lucian,84,0
Rakan,Sion,84,0
Jayce,Varus,84,0
Jhin,Varus,84,0
Corki,Rumble,84,0
Akali,Nocturne,83,27
Corki,Viktor,83,0
Corki,Wukong,83,0
Lee Sin,Neeko,83,0
Nami,Neeko,83,0
Lucian,Trundle,83,0
Orianna,Skarner,83,0
Ashe,Corki,83,0
Corki,Milio,83,0
Lee Sin,Orianna,83,0
Rakan,Ryze,83,0
Anivia,Jhin,83,0
Jayce,Naafiri,83,0
Annie,Viktor,83,0
Anivia,Renekton,83,0
Lee Sin,Nocturne,82,24
Akali,Viktor,82,0
Kai'Sa,Xin Zhao,82,0
Ashe,Rakan,82,0
Annie,Nami,82,0
Ahri,Anivia,82,0
Ashe,Trundle,82,0
Ahri,Rakan,82,0
Alistar,Seraphine,82,0
Lee Sin,Varus,82,0
Anivia,Jayce,82,0
Annie,Naafiri,82,0
Annie,Jayce,82,0
Akali,Caitlyn,81,0
Ambessa,Skarner,81,0
Anivia,Yunara,81,0
Aurora,Corki,81,0
Lee Sin,Yunara,81,0
Naafiri,Skarner,81,0
Mel,Xin Zhao,81,0
Bard,Rakan,81,0
Gnar,Rell,81,0
K'Sante,Rakan,81,0
Rell,Sion,81,0
Miss Fortune,Nautilus,81,0
Naafiri,Renekton,81,0
Nocturne,Sivir,80,30
Akali,Ambessa,80,0
Akali,Gnar,80,0
Neeko,Sivir,80,0
Ornn,Xin Zhao,80,0
Karma,Rakan,80,0
Nautilus,Taliyah,80,0
Cassiopeia,Trundle,80,0
Ezreal,Zaahen,80,0
Rumble,Trundle,80,0
Ryze,Trundle,80,0
Alistar,Ashe,80,0
Aurora,Rell,80,0
Rell,Seraphine,80,0
Anivia,Varus,80,0
Ashe,Taliyah,80,0
Naafiri,Varus,80,0
Rakan,Vi,80,0
Ryze,Taliyah,80,0
Rakan,Rumble,80,0
Rell,Wukong,80,0
Jayce,Skarner,80,0
Pantheon,Taliyah,80,0
Lee Sin,Renekton,80,0
Anivia,Skarner,79,0
Galio,Xin Zhao,79,0
Kai'Sa,Nautilus,79,0
Corki,Vi,79,0
Anivia,Orianna,79,0
Ezreal,Kai'Sa,79,0
Nautilus,Trundle,79,0
Trundle,Wukong,79,0
Alistar,Wukong,79,0
Jarvan IV,Xayah,79,0
Jhin,Skarner,79,0
Rell,Vi,79,0
Ezreal,Mel,79,0
K'Sante,Rell,79,0
Rell,Rumble,79,0
Rumble,Taliyah,79,0
Annie,Renekton,79,0
Jarvan IV,Kai'Sa,78,0
Akali,Renekton,78,0
Aatrox,Ezreal,78,0
K'Sante,Trundle,78,0
Karma,Trundle,78,0
Alistar,Aurora,78,0
Alistar,Bard,78,0
Alistar,Karma,78,0
Alistar,Ryze,78,0
Anivia,Naafiri,78,0
Bard,Taliyah,78,0
Twisted Fate,Xin Zhao,78,0
Annie,Varus,78,0
Bard,Trundle,78,0
Alistar,Rumble,78,0
Ezreal,Miss Fortune,78,0
Galio,Sion,77,0
Lee Sin,Nami,77,0
Ezreal,Galio,77,0
Ahri,Trundle,77,0
Aurora,Trundle,77,0
Alistar,Orianna,77,0
Ezreal,Ornn,77,0
Jhin,Sivir,77,0
Ahri,Rell,77,0
Karma,Rell,77,0
Naafiri,Nami,77,0
Lucian,Rakan,77,0
Milio,Rakan,77,0
Rakan,Varus,77,0
Ezreal,Twisted Fate,77,0
Ryze,Twisted Fate,77,0
Jhin,Nami,77,0
Nocturne,Rakan,76,29
Ambessa,Anivia,76,0
Caitlyn,Corki,76,0
Corki,Yunara,76,0
Galio,Jarvan IV,76,0
Nami,Skarner,76,0
Sivir,Skarner,76,0
Ahri,Corki,76,0
Corki,Lulu,76,0
K'Sante,Taliyah,76,0
Ezreal,Yorick,76,0
Rumble,Yorick,76,0
Alistar,Viktor,76,0
Ezreal,Xayah,76,0
Jarvan IV,Mel,76,0
Akali,Varus,76,0
Pantheon,Rakan,76,0
Sivir,Varus,76,0
Pantheon,Trundle,76,0
Trundle,Vi,76,0
Jayce,Lee Sin,76,0
Miss Fortune,Sion,76,0
Renekton,Sivir,76,0
Nocturne,Taliyah,75,22
Akali,Nami,75,0
Ambessa,Corki,75,0
Cassiopeia,Corki,75,0
Kai'Sa,Sion,75,0
Nami,Sivir,75,0
Akali,Orianna,75,0
Annie,Skarner,75,0
Xin Zhao,Yorick,75,0
Alistar,Vi,75,0
Jarvan IV,Yorick,75,0
Caitlyn,Rell,75,0
Pantheon,Rell,75,0
Lucian,Taliyah,75,0
Milio,Taliyah,75,0
Jayce,Sivir,75,0
Sion,Twisted Fate,75,0
Miss Fortune,Xin Zhao,75,0
Renekton,Skarner,75,0
Corki,Nocturne,74,22
Corki,Gnar,74,0
