match_id,date,patch,op_losing_team,op_losing_team_picks,op_champions_in_losing_team,winning_opponent,winning_opponent_picks
NLC/2026 Season/Spring Split_Day 2_2_1,2026-05-27 17:05:00,26.10,Arctic Pandas,Olaf + Ryze + Senna + Seraphine + Varus,Senna,Ruddy Corporation,Ashe + Mel + Milio + Naafiri + Sion
Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_4,2026-05-27 18:42:00,26.10,The Secret Club,Galio + Jayce + Mordekaiser + Nautilus + Senna,Senna,Magaza Esports,Braum + LeBlanc + Renekton + Skarner + Smolder
Streamers Clash/Season 4_Day 7_5_1,2026-05-28 19:54:00,26.10,SILNĚJŠÍ SE XNAPYM,Bel'Veth + Hwei + Malphite + Senna + Sylas,Senna,VEDICI DEEMONS,Kayn + Ryze + Sion + Tristana + Yuumi
North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,2026-05-28 22:00:00,26.10,Winthrop University,Ambessa + Ivern + Nautilus + Senna + Viktor,Senna,NRG,Hwei + Lucian + Milio + Renekton + Trundle
LPL/2026 Season/Split 2 Playoffs_Round 1_1_3,2026-05-29 08:05:00,26.10,ThunderTalk Gaming,Senna + Seraphine + Sion + Sylas + Wukong,Senna,JD Gaming,Ashe + Lulu + Nocturne + Shen + Viktor
NLC/2026 Season/Spring Playoffs_Round 1_1_3,2026-05-29 17:56:00,26.10,Ruddy Corporation,Aatrox + Nautilus + Senna + Taliyah + Viktor,Senna,Deer Gaming,Akali + Lee Sin + Rell + Syndra + Xayah
Benelux Ascend Series/2026 Season/Spring Playoffs_Round 2_1_4,2026-05-29 20:18:00,26.10,RED OUAT,Camille + Senna + Seraphine + Taliyah + Vi,Senna,FUSE,Aphelios + Lee Sin + Lulu + Mel + Olaf
CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2,2026-05-30 17:07:00,26.11,LØS,Annie + Jayce + Nocturne + Ornn + Senna,Nocturne,Fluxo W7M,Miss Fortune + Nautilus + Renekton + Ryze + Xin Zhao
LCP/2026 Season/Split 2 Playoffs_Round 3_1_3,2026-05-31 10:54:00,26.10,Team Secret Whales,Annie + Gnar + Lee Sin + Nautilus + Senna,Senna,Deep Cross Gaming,Jayce + Miss Fortune + Orianna + Rek'Sai + Rell
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,2026-06-02 21:47:00,26.11,Marere Invokers,Ezreal + Gnar + Nautilus + Nocturne + Viktor,Nocturne,Barulhinhos,Aurora + K'Sante + Lucian + Milio + Xin Zhao
LJL/2026 Season/Spring Series_Week 6_2_3,2026-06-03 12:13:00,26.10,New Meta,Anivia + Hecarim + Senna + Shen + Yone,Senna,Uwinks,Braum + Gragas + Pantheon + Xerath + Yunara
LES/2026 Season/Spring Playoffs_Semifinals_1_2,2026-06-03 15:57:00,26.10,Barça eSports,Annie + Gnar + Lee Sin + Nautilus + Senna,Senna,Team Heretics Academy,Alistar + Ezreal + Jarvan IV + Vayne + Viktor
Arabian League/2026 Season/Summer Promotion_Round 1_3_1,2026-06-03 16:06:00,26.11,GnG Amazigh,Ambessa + Kai'Sa + Neeko + Nocturne + Sylas,Nocturne,NextGeneration Esports,Alistar + Ezreal + Jarvan IV + Kennen + Ryze
LES/2026 Season/Spring Playoffs_Semifinals_2_4,2026-06-04 18:07:00,26.10,UCAM Esports,Jarvan IV + LeBlanc + Nautilus + Olaf + Senna,Senna,Movistar KOI Fénix,Cassiopeia + Poppy + Rell + Smolder + Zaahen
Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1,2026-06-04 20:05:00,26.11,Kuma eSports B,Lucian + Nocturne + Rell + Ryze + Sion,Nocturne,Marere Invokers,Ambessa + Anivia + Nautilus + Varus + Wukong
